Lat,Long,Confirmed,Deaths,Recovered,cluster,prob
-20.348404,57.552152,273,7,19,3,0.9992672090556879
23.7,121.0,445,7,434,3,0.5145039829157183
-16.2902,-63.5887,2831,122,299,0,0.999992996735218
35.1264,33.4299,883,15,296,0,0.9880313271353227
42.602636,20.902977,184,5,30,3,0.9995971134510168
20.593684,78.96288,9205,331,1080,4,0.6909039897304244
-18.665695,35.529562,0,0,0,3,0.9998433281372722
61.92411,25.748151,792,1,10,0,0.9999282802201368
53.7609,-98.8139,0,0,0,3,0.9999366507754455
49.8175,15.473,5831,129,411,0,0.9999495583016211
52.1326,5.2913,34842,4054,0,4,1.0
-4.6796,55.492,11,0,8,3,0.9997967475835736
41.9029,12.4534,1,0,0,3,0.999730554415057
9.145,40.4897,131,3,59,3,0.9997831740410597
1.373333,32.290275,55,0,22,3,0.9998175874359955
30.3753,69.3451,0,0,0,3,0.9996455541726816
-20.904305,165.618042,0,0,0,3,0.9998290543468515
29.1832,120.0934,1268,1,1267,0,0.9999982226284952
10.6918,-61.2225,0,0,0,3,0.9999178243771525
-12.8275,45.166244,854,10,352,0,0.9729079887954631
14.058324,108.277199,153,0,20,3,0.999633207665201
6.6111,20.9394,3,0,0,3,0.9998051711391002
-16.2902,-63.5887,62357,2273,19290,4,1.0
43.6661,126.1923,91,1,43,3,0.9996496415821119
-9.19,-75.0152,244388,7461,131190,4,1.0
61.52401,105.318756,2,0,0,3,0.9994161607965708
17.607789,8.081666,639,19,113,3,0.5323336358254781
4.5709,-74.2973,120281,4210,47961,4,1.0
47.4116,28.3699,17814,585,10718,4,0.999999999999996
47.4116,28.3699,0,0,0,3,0.9996707358313579
-18.665695,35.529562,0,0,0,3,0.9998433281372722
-22.3285,24.6849,35,1,20,3,0.9998698660709968
7.873054,80.77179699999998,1683,11,823,0,0.999998946195647
26.0789,117.9874,287,0,82,3,0.9993076542401225
12.1165,-61.679,0,0,0,3,0.9999172223229554
26.8154,106.8748,146,2,72,3,0.9997070028695328
14.4974,-14.4524,9422,182,6291,0,0.9713131629194675
71.7069,-42.6043,11,0,11,3,0.9998237655888553
56.8796,24.6032,812,12,267,0,0.9036839639103414
11.8037,-15.1804,1389,12,153,0,0.9999950121158868
1.373333,32.290275,227,0,63,3,0.999663214138141
30.9756,112.2707,68135,4512,63619,4,1.0
15.4542,18.7322,836,69,672,0,0.9999950530707841
-22.3285,24.6849,0,0,0,3,0.9998609925051174
13.7942,-88.8965,424,10,124,3,0.9987833417468484
49.3723,-2.3644,0,0,0,3,0.9997496809137373
17.1899,-88.4976,18,2,16,3,0.9999415482850327
49.8153,6.1296,0,0,0,3,0.9997252687197262
8.6195,0.8248,497,13,251,3,0.9865655209888892
17.357822,-62.782998,15,0,14,3,0.9999145741577309
51.2538,-85.3232,34382,2607,0,4,1.0
18.4207,-64.64,8,1,7,3,0.9999161996770148
30.9756,112.2707,68135,4512,63617,4,1.0
-0.228,15.8277,728,24,221,0,0.8131158481117359
21.512583,55.92325500000001,0,0,0,3,0.9997030542974364
24.974,101.487,174,2,172,3,0.999377448462798
3.2028,73.2207,617,2,20,0,0.8405960025017293
34.802075,38.99681500000001,123,5,0,3,0.9995906980838026
-19.015438,29.154857,9,1,0,3,0.9998533102033416
15.870032,100.992541,3261,58,3105,0,0.9999953017570713
18.0425,-63.0548,76,14,44,3,0.9996966355930715
23.424076,53.847818,405,2,52,3,0.9943261329646107
39.3999,-8.2245,27581,1135,2549,4,1.0
-38.4161,-63.6167,4003,197,1140,0,0.9999743013805145
13.7942,-88.8965,0,0,0,3,0.999944941079577
47.5162,14.5501,0,0,0,3,0.9997083973594418
43.9159,17.6791,6402,216,3037,0,0.9999286799700696
15.2,-86.2419,0,0,0,3,0.9999417403389155
3.9339,-53.1258,384,1,146,3,0.9989767419507648
42.5063,1.5218,0,0,0,3,0.9997560256977389
40.1824,116.4142,584,8,434,0,0.5325876504147505
30.9756,112.2707,68135,4512,63616,4,1.0
6.6111,20.9394,4109,52,1050,0,0.9999961363310221
40.0,-100.0,13,0,3,3,0.9999448503224747
17.0608,-61.7964,68,3,23,3,0.9999138309476754
21.512583,55.92325500000001,17486,81,3793,4,0.9999999998820718
27.614,115.7221,937,1,936,0,0.9999983248515016
29.31166,47.481766,0,0,0,3,0.9996898114973325
17.0608,-61.7964,26,3,22,3,0.9999100329459037
40.1431,47.5769,6860,82,3871,0,0.9998947729480512
3.9339,-53.1258,279,1,143,3,0.999646683541203
39.3999,-8.2245,0,0,0,3,0.9997867002183426
32.9711,119.455,645,0,631,0,0.9999887764883366
46.8182,8.2275,0,0,0,3,0.9997275527674744
